省,市,区（县）,小区名称,房屋面积,房屋类型（室）,房屋类型（厅）,房屋类型（卫）,总层数,楼层部位,房屋朝向,房屋建设年代,总价,单价
江苏省,苏州市,工业园区,IALA国际自由水岸,134,4,2,2,11,低,西,2008,445,33209
江苏省,苏州市,工业园区,IALA国际自由水岸,134,4,2,2,11,低,西,2008,445,33209
江苏省,苏州市,工业园区,IALA国际自由水岸,131,4,2,2,24,低,南北,2008,420,32061
江苏省,苏州市,工业园区,IALA国际自由水岸,131,4,2,2,24,低,南北,2008,420,32061
江苏省,苏州市,工业园区,IALA国际自由水岸,77,2,2,1,18,中,南,2012,185,24026
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,高,南,2008,220,28947
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,高,南,2008,220,28947
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,高,南,2008,220,28947
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,高,南,2008,220,28947
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,24,中,南,2008,213,28400
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,中,南,2008,223,29342
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,25,中,南,2008,216,28496
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,24,中,南,2008,213,28400
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,中,南,2008,223,29342
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,25,中,南,2008,216,28496
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,25,中,南,2008,216,28496
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,25,中,南,2008,216,28496
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,24,中,南,2008,213,28400
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,中,南,2008,223,29342
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,中,南,2008,223,29342
江苏省,苏州市,工业园区,IALA国际自由水岸,75,2,2,1,24,中,南,2008,213,28400
江苏省,苏州市,工业园区,IALA国际自由水岸,99,3,2,1,25,高,南,2008,239,24121
江苏省,苏州市,工业园区,IALA国际自由水岸,99,3,2,1,25,高,南,2008,239,24121
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,中,南,2008,213,28026
江苏省,苏州市,工业园区,IALA国际自由水岸,76,2,2,1,24,中,南,2008,213,28026
江苏省,苏州市,工业园区,IALA自由水岸,130,4,2,2,25,低,南北,2007,400,30769
江苏省,苏州市,工业园区,IALA自由水岸,143,4,2,2,28,低,东,2008,390,27273
江苏省,苏州市,工业园区,IALA自由水岸,141,4,2,2,28,高,暂无,2008,350,24823
江苏省,苏州市,工业园区,IALA自由水岸,154,4,2,2,26,高,南北,2008,420,27273
江苏省,苏州市,工业园区,IALA自由水岸,77,2,2,1,16,中,南北,2008,210,27273
江苏省,苏州市,工业园区,IALA自由水岸,99,2,2,1,24,中,南,2008,272,27475
江苏省,苏州市,工业园区,IALA自由水岸,121,3,2,2,18,中,南北,2013,302,24893
江苏省,苏州市,工业园区,IALA自由水岸,140,4,2,2,28,中,暂无,2000,399,28500
江苏省,苏州市,工业园区,IALA自由水岸,76,2,2,1,24,中,南,2010,215,28289
江苏省,苏州市,工业园区,IALA自由水岸,113,3,2,1,18,中,南,2013,286,25243
江苏省,苏州市,工业园区,阿卡迪亚,335,,,,0,低,南北,2012,700,20896
江苏省,苏州市,工业园区,阿卡迪亚,285,,,,0,低,南北,2014,720,25263
江苏省,苏州市,工业园区,阿卡迪亚,284,7,2,,4,中,南北,2014,580,20423
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,17,低,南,2014,195,25000
江苏省,苏州市,工业园区,阿卡迪亚,97,3,2,,17,低,南北,2014,245,25149
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,17,低,南北,2014,194,24872
江苏省,苏州市,工业园区,阿卡迪亚,98,3,2,,18,高,南北,2014,248,25306
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,18,低,南,2014,195,25000
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,18,低,南,2014,195,25000
江苏省,苏州市,工业园区,阿卡迪亚,77,2,2,,18,低,南,2014,194,25029
江苏省,苏州市,工业园区,阿卡迪亚,77,2,2,,18,低,南,2014,194,25029
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,17,低,南北,2014,194,24872
江苏省,苏州市,工业园区,阿卡迪亚,77,2,2,,18,低,南,2014,188,24255
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,17,低,南,2014,185,23718
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,18,低,南,2014,195,25000
江苏省,苏州市,工业园区,阿卡迪亚,77,2,2,,18,低,南,2014,188,24255
江苏省,苏州市,工业园区,阿卡迪亚,77,2,2,,18,低,南,2014,194,25029
江苏省,苏州市,工业园区,阿卡迪亚,97,3,2,,17,低,南北,2014,245,25149
江苏省,苏州市,工业园区,阿卡迪亚,97,3,2,,17,低,南北,2014,245,25149
江苏省,苏州市,工业园区,阿卡迪亚,77,2,2,,18,低,南,2014,188,24412
江苏省,苏州市,工业园区,阿卡迪亚,77,2,2,,18,低,南,2014,192,24932
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,17,低,南北,2014,194,24872
江苏省,苏州市,工业园区,阿卡迪亚,97,3,2,,17,低,南北,2014,245,25149
江苏省,苏州市,工业园区,阿卡迪亚,97,3,2,,17,低,南北,2014,245,25149
江苏省,苏州市,工业园区,阿卡迪亚,98,3,2,,18,高,南北,2014,248,25306
江苏省,苏州市,工业园区,阿卡迪亚,98,3,2,,18,高,南北,2014,248,25306
江苏省,苏州市,工业园区,阿卡迪亚,98,3,2,,18,高,南北,2014,248,25306
江苏省,苏州市,工业园区,阿卡迪亚,98,3,2,,18,高,南北,2014,248,25306
江苏省,苏州市,工业园区,阿卡迪亚,98,3,2,,18,高,南北,2014,248,25306
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,18,高,南,2014,190,24359
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,18,高,南,2014,190,24359
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,18,高,南,2014,190,24359
江苏省,苏州市,工业园区,阿卡迪亚,98,3,2,,18,高,南北,2014,248,25306
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,17,中,南,2014,193,24744
江苏省,苏州市,工业园区,阿卡迪亚,78,2,2,,17,中,南,2014,193,24744
江苏省,苏州市,工业园区,阿卡迪亚·湖境,133,3,2,2,0,低,,2012,435,32707
江苏省,苏州市,工业园区,阿卡迪亚·湖境,132,3,2,3,0,低,,2012,520,39248
江苏省,苏州市,工业园区,阿卡迪亚·湖境,133,3,2,2,0,低,,2012,435,32707
江苏省,苏州市,工业园区,阿卡迪亚·湖境,133,3,2,2,0,低,,2012,435,32707
江苏省,苏州市,工业园区,阿卡迪亚·湖境,133,3,2,2,0,低,,2012,435,32707
江苏省,苏州市,工业园区,阿卡迪亚·湖境,136,4,2,2,4,低,南,2014,440,32353
江苏省,苏州市,工业园区,阿卡迪亚·湖境,136,4,2,2,4,低,南,2014,440,32353
江苏省,苏州市,工业园区,阿卡迪亚·湖境,208,4,2,2,4,低,南北,2012,650,31250
江苏省,苏州市,工业园区,阿卡迪亚·湖境,136,4,2,2,4,低,南,2014,440,32353
江苏省,苏州市,工业园区,阿卡迪亚·湖境,136,4,2,2,4,低,南,2014,440,32353
江苏省,苏州市,工业园区,阿卡迪亚·湖境,136,4,2,2,4,低,南,2014,440,32353
江苏省,苏州市,工业园区,阿卡迪亚·湖境,136,4,2,2,4,低,南,2014,440,32353
