工作单位,实习岗位,工作地点,岗位职责,岗位要求,薪资待遇,Unnamed: 6
中国工商银行股份有限公司,金融分析实习生,北京市 ,金融业务业务, 本科,0.0,
天津泰达会展管理有限公司,会展经济管理实习生,天津市 ,商业和服务业业务, 本科 ,2250.0,
西藏新城悦物业服务股份有限公司天津分公司,法务实习生,天津市 ,法律专业业务, 本科,0.0,
招银网络科技（杭州）有限公司,算法实习生,浙江省、广东省、四川省 ,工程技术业务, 本科 ,2250.0,
天津亿数科技有限责任公司,算法实习生,天津市 ,综合专业技术业务, 本科 ,3750.0,
天津龙湖置业有限公司,,天津市、吉林省 ,综合业务, 硕士研究生 ,3750.0,
OPPO广东移动通信有限公司,管培生,重庆市、上海市、广东省、四川省 , 商业和服务业业务 ,本科 ,10000.0,
阿里云计算有限公司,行研实习生,北京市、上海市、浙江省、广东省、四川省 ,综合专业技术业务, 本科 ,10000.0,
淘天有限公司,投行管培生,浙江省, 商业和服务业业务 , ,3500.0,
北京浩悦咨询服务有限公司,外贸业务员（生物医疗方向）,北京市、上海市、广东省 ,金融业务业务, 硕士研究生 ,10000.0,
中唐方德（天津）科技发展有限公司,质量管培生,天津市 ,商业和服务业业务, 本科 ,7000.0,
扬子江药业集团北京海燕药业有限公司,质量管培生,北京市,综合业务, 本科 ,7000.0,
百度在线网络技术（北京）有限公司,游戏策划类、开发类、美术类、运营类、产品类、职能类实习生,北京市、上海市、辽宁省、四川省、香港特别行政区, 商业和服务业业务 , ,4500.0,
珠海剑心互动娱乐有限公司,管理业务业务,广东省 ,综合业务, 本科 ,1000000.0,
深圳市宝安实业集团有限公司,档案管理岗、党群工作岗、人力资源岗实习生,广东省 ,综合业务, 本科 ,10000.0,
石家庄二中实验学校,高中实习教师,河北省 ,教学业务, 本科 ,3750.0,
中国移动通信集团江西有限公司,品牌策划实习生,江西省 ,工程技术业务, 本科,3200.0,
天津海泰科技发展股份有限公司,孵化器运营、研发业务、招商推广实习生,天津市 ,综合业务, 本科 ,2250.0,
天津天宝翔科技有限公司,咨询实习生,天津市、四川省 ,科学研究业务, 本科 ,10000.0,
和君集团有限公司,见习编辑,北京市 ,综合业务, 硕士研究生 ,3750.0,
